Participant,Sex,Posture,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,M,stand,6,1,3.0569014,125.6173981,125.6173981,10.46811651,10.46811651,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
1,M,stand,7,1,2.3599149,81.35886595,81.35886595,6.779905496,6.779905496,0,1,0,0,0,1,1,1,0,17,0,0,0,17,17,17
1,M,stand,8,1,1.9422893,111.2089739,111.2089739,9.267414489,9.267414489,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
1,M,stand,9,1,3.0673907,101.7151157,101.7151157,8.476259643,8.476259643,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
1,M,stand,10,1,2.0160369,130.9499841,130.9499841,10.91249867,10.91249867,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
1,M,stand,11,1,2.6627872,108.1573473,108.1573473,9.013112276,9.013112276,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
1,M,stand,12,1,3.3065237,79.84216172,79.84216172,6.653513477,6.653513477,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
1,M,stand,13,1,1.8341549,130.8504533,130.8504533,10.90420444,10.90420444,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
1,M,stand,14,1,3.6180202,76.28481455,76.28481455,6.357067879,8.015433413,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,24,0,3,3,24,24,30
1,M,stand,15,1,2.599648,124.6322579,124.6322579,10.38602149,10.38602149,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
1,M,stand,16,1,2.3790254,131.1461408,131.1461408,10.92884506,10.92884506,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
1,M,stand,17,1,3.7241576,112.7771821,109.6444826,9.398098512,9.398098512,1,1,0.027777778,0,0.027777778,1,0,0.972222222,0.027777778,35,1,0,0,35,36,36
1,M,stand,18,1,2.9721736,113.0485783,113.0485783,9.42071486,10.09362306,0,1.068965517,0,0.033333333,0.033333333,1,1,0.935483871,0.064516129,29,0,1,1,29,29,31
1,M,stand,19,1,2.8537687,113.5340786,113.5340786,9.46117322,9.46117322,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
1,M,stand,20,1,4.8479052,71.78358191,71.78358191,5.981965159,6.807063801,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
1,M,stand,21,1,4.3036027,94.80429037,94.80429037,7.900357531,8.365084444,0,1.057142857,0,0.027777778,0.027777778,1,1,0.945945946,0.054054054,35,0,1,1,35,35,37
1,M,stand,22,1,2.5799123,88.37509709,88.37509709,7.364591424,7.364591424,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
1,M,stand,23,1,2.6916814,111.4544983,111.4544983,9.287874858,9.287874858,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
1,M,stand,24,1,3.9230714,91.76483507,91.76483507,7.647069589,8.156874229,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
1,M,stand,25,1,2.4419806,113.0230109,113.0230109,9.418584243,9.418584243,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
1,M,stand,26,1,3.363768,103.4554107,103.4554107,8.621284226,8.621284226,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
1,M,stand,27,1,3.2094437,104.6910404,104.6910404,8.724253365,8.724253365,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
1,M,stand,28,1,4.5489715,52.75917864,52.75917864,4.39659822,6.155237508,0,1.380952381,0,0.16,0.16,1,1,0.724137931,0.275862069,21,0,4,4,21,21,29
1,M,stand,29,1,4.0131816,110.6354121,110.6354121,9.219617672,9.219617672,0,1,0,0,0,1,1,1,0,38,0,0,0,38,38,38
1,M,stand,30,1,3.0981103,116.1998654,116.1998654,9.683322121,9.683322121,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
