Participant,Sex,Posture,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
2,M,sit,6,1,4.2912885,81.09452441,78.63711458,6.757877034,8.156058489,1,1.2,0.03030303,0.090909091,0.121212121,1,0.75,0.805555556,0.194444444,29,1,3,3,30,30,36
2,M,sit,7,1,4.9808854,81.91314741,81.91314741,6.826095617,7.62916569,0,1.114285714,0,0.054054054,0.054054054,1,1,0.897435897,0.102564103,35,0,2,2,35,35,39
2,M,sit,8,1,2.5083981,114.8143112,114.8143112,9.567859264,9.567859264,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
2,M,sit,9,1,3.2260768,111.5906478,111.5906478,9.299220651,9.919168694,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
2,M,sit,10,1,3.0513862,90.45069418,90.45069418,7.537557848,9.503877287,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,24,0,3,3,24,24,30
2,M,sit,11,1,2.309156,109.130782,109.130782,9.094231832,9.094231832,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
2,M,sit,12,1,3.8236158,78.45976575,72.85549677,6.538313813,7.584444023,2,1.153846154,0.071428571,0.071428571,0.142857143,1,0.5,0.8,0.2,24,2,2,2,26,26,30
2,M,sit,13,1,3.4730115,93.29079388,93.29079388,7.774232824,8.92597102,0,1.142857143,0,0.066666667,0.066666667,1,1,0.875,0.125,28,0,2,2,28,28,32
2,M,sit,14,1,7.3529425,48.95999119,47.76584506,4.079999266,6.799998776,1,1.64516129,0.024390244,0.243902439,0.268292683,1,0.909090909,0.588235294,0.411764706,30,1,10,10,31,31,51
2,M,sit,15,1,3.2408691,103.6758936,100.2200305,8.6396578,9.256776215,1,1.068965517,0.033333333,0.033333333,0.066666667,1,0.5,0.903225806,0.096774194,28,1,1,1,29,29,31
2,M,sit,16,1,1.7447037,165.0710089,165.0710089,13.75591741,13.75591741,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
2,M,sit,17,1,2.808261,132.4663199,132.4663199,11.03885999,11.03885999,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
2,M,sit,18,1,3.1303665,92.00200679,82.48455782,7.666833899,8.305736724,3,1.08,0.103448276,0.034482759,0.137931034,1,0.25,0.833333333,0.166666667,25,3,1,1,28,25,27
2,M,sit,19,1,3.6024466,89.93887654,89.93887654,7.494906378,8.605262879,0,1.142857143,0,0.066666667,0.066666667,1,1,0.875,0.125,28,0,2,2,28,28,32
2,M,sit,20,1,2.6166894,132.9924751,132.9924751,11.08270626,11.84703083,0,1.066666667,0,0.032258065,0.032258065,1,1,0.9375,0.0625,30,0,1,1,30,30,32
2,M,sit,21,1,3.2264669,152.4887796,152.4887796,12.7073983,12.7073983,0,1,0,0,0,1,1,1,0,42,0,0,0,42,42,42
2,M,sit,22,1,3.6354178,92.42403995,92.42403995,7.70200333,8.252146425,0,1.068965517,0,0.033333333,0.033333333,1,1,0.935483871,0.064516129,29,0,1,1,29,29,31
2,M,sit,23,1,2.2244539,145.6537265,145.6537265,12.13781054,12.13781054,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
2,M,sit,24,1,4.3773073,98.6908093,98.6908093,8.224234108,9.138037898,0,1.108108108,0,0.051282051,0.051282051,1,1,0.902439024,0.097560976,37,0,2,2,37,37,41
2,M,sit,25,1,2.624595,128.0197516,128.0197516,10.66831263,10.66831263,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
2,M,sit,26,1,2.0470869,128.9637484,128.9637484,10.74697904,10.74697904,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
2,M,sit,27,1,1.3294201,144.4238732,144.4238732,12.03532277,12.03532277,0,1,0,0,0,1,1,1,0,17,0,0,0,17,17,17
2,M,sit,28,1,1.6933272,162.9927164,162.9927164,13.58272636,13.58272636,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
2,M,sit,29,1,2.4933162,163.6374881,163.6374881,13.63645734,13.63645734,0,1,0,0,0,1,1,1,0,35,0,0,0,35,35,35
2,M,sit,30,1,6.3394054,54.89473824,54.89473824,4.57456152,6.782970529,0,1.466666667,0,0.189189189,0.189189189,1,1,0.681818182,0.318181818,30,0,7,7,30,30,44
