,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
8,F,sit,6,1,8.6558204,38.81781096,38.81781096,3.23481758,3.23481758,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
8,F,sit,7,1,5.7056042,44.16710153,44.16710153,3.680591794,3.680591794,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
8,F,sit,8,1,12.3485673,32.06849753,32.06849753,2.672374794,2.672374794,0,1,0,0,0,1,1,1,0,34,0,0,0,34,34,34
8,F,sit,9,1,7.6391823,47.12546263,47.12546263,3.927121886,3.927121886,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
8,F,sit,10,1,5.9821242,52.15538654,46.76000173,4.346282212,4.346282212,3,1,0.103448276,0,0.103448276,1,0,0.896551724,0.103448276,26,3,0,0,29,27,27
8,F,sit,11,1,9.0969612,38.25453273,38.25453273,3.187877728,3.627585001,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
8,F,sit,12,1,11.6746046,30.83616211,29.87253204,2.569680176,2.740992187,1,1.064516129,0.03125,0.03125,0.0625,1,0.5,0.909090909,0.090909091,30,1,1,1,31,31,33
8,F,sit,13,1,8.1166387,42.87489106,42.87489106,3.572907588,3.572907588,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
8,F,sit,14,1,7.4409728,45.15538613,45.15538613,3.762948845,3.762948845,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
8,F,sit,15,1,7.1924429,43.37886367,41.82961854,3.614905306,3.892974945,1,1.074074074,0.035714286,0.035714286,0.071428571,1,0.5,0.896551724,0.103448276,26,1,1,1,26,27,29
8,F,sit,16,1,11.3164637,30.7516561,30.7516561,2.562638009,2.91610532,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
8,F,sit,17,1,9.2862314,28.42918603,28.42918603,2.369098836,2.799844079,0,1.173913043,0,0.08,0.08,1,1,0.851851852,0.148148148,23,0,2,2,23,23,27
8,F,sit,18,1,9.7776166,38.0460817,38.0460817,3.170506808,3.579604461,0,1.125,0,0.058823529,0.058823529,1,1,0.888888889,0.111111111,32,0,2,2,32,32,36
8,F,sit,19,1,7.588044,41.11731561,41.11731561,3.426442967,3.426442967,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
8,F,sit,20,1,5.1974317,50.79431828,50.79431828,4.232859857,4.232859857,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
8,F,sit,21,1,7.7114051,45.12796248,45.12796248,3.76066354,4.020019646,0,1.066666667,0,0.032258065,0.032258065,1,1,0.9375,0.0625,30,0,1,1,30,30,32
8,F,sit,22,1,7.9015457,44.04201573,44.04201573,3.670167977,3.92328301,0,1.066666667,0,0.032258065,0.032258065,1,1,0.9375,0.0625,30,0,1,1,30,30,32
8,F,sit,23,1,7.2137379,34.93334572,34.93334572,2.911112143,2.911112143,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
8,F,sit,24,1,7.0013183,35.99322145,34.35716593,2.999435121,2.999435121,1,1,0.045454545,0,0.045454545,1,0,0.954545455,0.045454545,21,1,0,0,21,22,22
8,F,sit,25,1,8.9027366,35.0454039,35.0454039,2.920450325,2.920450325,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
8,F,sit,26,1,14.2624164,28.60665322,28.60665322,2.383887768,2.383887768,0,1,0,0,0,1,1,1,0,35,0,0,0,35,35,35
8,F,sit,27,1,9.0990015,38.24595479,38.24595479,3.187162899,3.187162899,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
8,F,sit,28,1,10.6222937,37.28008387,37.28008387,3.106673656,3.294956907,0,1.058823529,0,0.028571429,0.028571429,1,1,0.944444444,0.055555556,34,0,1,1,34,34,36
8,F,sit,29,1,10.8240355,36.58524586,36.58524586,3.048770489,3.233544458,0,1.058823529,0,0.028571429,0.028571429,1,1,0.944444444,0.055555556,34,0,1,1,34,34,36
8,F,sit,30,1,8.2433419,48.03876932,46.62586434,4.003230777,4.003230777,1,1,0.029411765,0,0.029411765,1,0,0.970588235,0.029411765,33,1,0,0,34,34,34
