,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
8,F,stand,6,1,10.6239514,36.14474366,36.14474366,3.012061972,3.388569718,0,1.121212121,0,0.057142857,0.057142857,1,1,0.891891892,0.108108108,33,0,2,2,33,33,37
8,F,stand,7,1,6.4366957,35.42190133,35.42190133,2.951825111,3.262543544,0,1.1,0,0.047619048,0.047619048,1,1,0.909090909,0.090909091,20,0,1,1,20,20,22
8,F,stand,8,1,10.7667671,32.32167992,32.32167992,2.693473327,2.693473327,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
8,F,stand,9,1,9.2206852,33.83696474,32.62850171,2.819747062,2.819747062,1,1,0.035714286,0,0.035714286,1,0,0.964285714,0.035714286,27,1,0,0,28,27,27
8,F,stand,10,1,10.6380409,28.2006812,26.38128241,2.350056767,2.914070391,2,1.230769231,0.064516129,0.096774194,0.161290323,1,0.6,0.764705882,0.235294118,26,2,3,3,28,26,32
8,F,stand,11,1,7.1558749,43.60053863,42.04337653,3.633378219,3.912868851,1,1.074074074,0.035714286,0.035714286,0.071428571,1,0.5,0.896551724,0.103448276,26,1,1,1,27,27,29
8,F,stand,12,1,6.2657222,49.79473875,49.79473875,4.149561562,4.149561562,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
8,F,stand,13,1,3.1697489,75.71577673,75.71577673,6.309648061,6.309648061,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
8,F,stand,14,1,7.5409155,46.14824288,46.14824288,3.845686906,3.845686906,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
8,F,stand,15,1,8.8723274,32.46047931,31.16206014,2.705039943,2.705039943,1,1,0.04,0,0.04,1,0,0.96,0.04,24,1,0,0,25,25,25
8,F,stand,16,1,9.7357352,36.97717662,36.97717662,3.081431385,3.286860144,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
8,F,stand,17,1,9.1586855,40.61718245,40.61718245,3.384765205,3.603137153,0,1.0625,0,0.03030303,0.03030303,1,1,0.941176471,0.058823529,32,0,1,1,32,32,34
8,F,stand,18,1,9.2005928,41.73644116,41.73644116,3.478036763,3.478036763,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
8,F,stand,19,1,5.937983,52.54309418,50.59705365,4.378591182,4.378591182,1,1,0.037037037,0,0.037037037,1,0,0.962962963,0.037037037,26,1,0,0,26,27,27
8,F,stand,20,1,12.1874463,29.53859169,29.53859169,2.461549308,2.625652595,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
8,F,stand,21,1,8.4228734,45.59014267,42.82710372,3.799178556,3.799178556,2,1,0.060606061,0,0.060606061,1,0,0.939393939,0.060606061,31,2,0,0,32,33,33
8,F,stand,22,1,9.9009769,39.99605332,39.99605332,3.333004443,3.535004713,0,1.058823529,0,0.028571429,0.028571429,1,1,0.944444444,0.055555556,34,0,1,1,34,34,36
8,F,stand,23,1,7.091693,42.30301566,42.30301566,3.525251305,3.525251305,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
8,F,stand,24,1,12.4797223,32.69303516,31.7848953,2.724419597,2.724419597,1,1,0.027777778,0,0.027777778,1,0,0.972222222,0.027777778,35,1,0,0,36,35,35
8,F,stand,25,1,9.4371675,41.96174329,40.72757437,3.496811941,3.496811941,1,1,0.029411765,0,0.029411765,1,0,0.970588235,0.029411765,33,1,0,0,34,34,34
8,F,stand,26,1,8.763588,34.23255406,34.23255406,2.852712839,2.852712839,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
8,F,stand,27,1,8.3652215,41.60081117,41.60081117,3.466734264,3.466734264,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
8,F,stand,28,1,6.8489819,49.05838633,49.05838633,4.088198861,4.088198861,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
8,F,stand,29,1,4.7039291,53.57223603,53.57223603,4.464353002,4.464353002,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
8,F,stand,30,1,7.7150226,46.66220939,46.66220939,3.888517449,4.147751946,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
