,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
9,M,sit,6,1,4.3003608,66.97112484,66.97112484,5.58092707,6.046004326,0,1.08,0,0.038461538,0.038461538,1,1,0.925925926,0.074074074,25,0,1,1,25,25,27
9,M,sit,7,1,6.4603435,65.01202297,63.38672239,5.417668581,6.346411766,1,1.166666667,0.025,0.075,0.1,1,0.75,0.837209302,0.162790698,36,1,3,3,37,36,42
9,M,sit,8,1,3.9558336,81.90435513,81.90435513,6.825362927,6.825362927,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
9,M,sit,9,1,4.044846,71.20172189,71.20172189,5.933476825,6.922389629,0,1.16,0,0.074074074,0.074074074,1,1,0.862068966,0.137931034,25,0,2,2,25,25,29
9,M,sit,10,1,3.7785505,95.27462978,95.27462978,7.939552482,7.939552482,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
9,M,sit,11,1,4.813373,102.2152241,102.2152241,8.517935344,8.517935344,0,1,0,0,0,1,1,1,0,42,0,0,0,42,42,42
9,M,sit,12,1,4.6590276,87.57192166,87.57192166,7.297660138,7.297660138,0,1,0,0,0,1,1,1,0,35,0,0,0,35,35,35
9,M,sit,13,1,4.0856731,58.74185088,56.29427376,4.89515424,6.363700512,1,1.285714286,0.041666667,0.125,0.166666667,1,0.75,0.740740741,0.259259259,20,1,3,3,20,21,27
9,M,sit,14,1,2.7114928,79.66091594,79.66091594,6.638409661,6.638409661,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
9,M,sit,15,1,3.523638,78.328137,78.328137,6.52734475,7.094939946,0,1.083333333,0,0.04,0.04,1,1,0.923076923,0.076923077,24,0,1,1,24,24,26
9,M,sit,16,1,4.9176353,70.76571945,70.76571945,5.897143288,7.117241899,0,1.2,0,0.090909091,0.090909091,1,1,0.833333333,0.166666667,30,0,3,3,30,30,36
9,M,sit,17,1,3.3783692,92.3522509,92.3522509,7.696020909,7.696020909,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
9,M,sit,18,1,5.2972567,67.9597045,65.90031952,5.663308708,6.040862622,1,1.064516129,0.03030303,0.03030303,0.060606061,1,0.5,0.911764706,0.088235294,31,1,1,1,32,31,33
9,M,sit,19,1,3.8533681,87.1964451,87.1964451,7.266370425,7.266370425,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
9,M,sit,20,1,5.6948887,56.89312242,56.89312242,4.741093535,5.443477763,0,1.142857143,0,0.066666667,0.066666667,1,1,0.875,0.125,28,0,2,2,28,28,32
9,M,sit,21,1,2.2091366,103.2077419,103.2077419,8.600645157,8.600645157,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
9,M,sit,22,1,5.3681164,71.53347122,71.53347122,5.961122602,6.333692764,0,1.060606061,0,0.029411765,0.029411765,1,1,0.942857143,0.057142857,33,0,1,1,33,33,35
9,M,sit,23,1,4.4438488,78.31049517,75.70014533,6.525874598,6.525874598,1,1,0.033333333,0,0.033333333,1,0,0.966666667,0.033333333,29,1,0,0,29,30,30
9,M,sit,24,1,5.9341426,74.82125556,74.82125556,6.23510463,6.572137313,0,1.052631579,0,0.025641026,0.025641026,1,1,0.95,0.05,38,0,1,1,38,38,40
9,M,sit,25,1,3.444592,97.54420843,97.54420843,8.128684036,8.128684036,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
9,M,sit,26,1,3.3454757,86.08641217,86.08641217,7.17386768,7.17386768,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
9,M,sit,27,1,2.8369073,105.7489612,105.7489612,8.812413433,8.812413433,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
9,M,sit,28,1,2.4546151,87.99750315,78.73460808,7.333125263,7.333125263,2,1,0.105263158,0,0.105263158,1,0,0.894736842,0.105263158,17,2,0,0,17,19,19
9,M,sit,29,1,4.8945972,80.90553396,80.90553396,6.74212783,7.559355446,0,1.117647059,0,0.055555556,0.055555556,1,1,0.894736842,0.105263158,34,0,2,2,34,34,38
9,M,sit,30,1,2.8789562,91.69990151,91.69990151,7.641658459,7.641658459,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
