,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
9,M,stand,6,1,5.9746002,56.23807263,56.23807263,4.686506053,6.025507782,0,1.275862069,0,0.121212121,0.121212121,1,1,0.783783784,0.216216216,29,0,4,4,29,29,37
9,M,stand,7,1,3.4370299,87.28466401,87.28466401,7.273722,7.273722,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
9,M,stand,8,1,3.4540932,83.37933672,83.37933672,6.94827806,6.94827806,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
9,M,stand,9,1,3.0927778,81.4801503,81.4801503,6.790012525,7.436680385,0,1.090909091,0,0.043478261,0.043478261,1,1,0.916666667,0.083333333,22,0,1,1,22,22,24
9,M,stand,10,1,5.2686531,68.3286588,68.3286588,5.6940549,5.6940549,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
9,M,stand,11,1,4.1283907,90.1077507,90.1077507,7.508979225,7.508979225,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
9,M,stand,12,1,3.5853012,83.67497827,83.67497827,6.972914856,6.972914856,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
9,M,stand,13,1,3.924817,88.66655439,88.66655439,7.388879532,7.388879532,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
9,M,stand,14,1,9.0666813,51.61756375,51.61756375,4.301463646,5.404403042,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,40,0,5,5,40,40,50
9,M,stand,15,1,4.483914,80.28699926,80.28699926,6.690583272,6.690583272,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
9,M,stand,16,1,5.5929963,70.80283604,70.80283604,5.900236337,5.900236337,0,1,0,0,0,1,1,1,0,34,0,0,0,34,34,34
9,M,stand,17,1,4.4132212,78.85396726,78.85396726,6.571163938,6.571163938,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
9,M,stand,18,1,5.3652443,73.80838185,73.80838185,6.150698487,6.523468093,0,1.058823529,0,0.028571429,0.028571429,1,1,0.944444444,0.055555556,34,0,1,1,34,34,36
9,M,stand,19,1,4.159183,77.89991448,77.89991448,6.49165954,6.49165954,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
9,M,stand,20,1,4.7479766,63.18481014,63.18481014,5.265400845,5.265400845,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
9,M,stand,21,1,3.8845858,86.49570824,86.49570824,7.207975687,7.207975687,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
9,M,stand,22,1,3.6105057,89.73812173,89.73812173,7.478176811,7.478176811,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
9,M,stand,23,1,6.3016433,59.03222101,59.03222101,4.919351751,5.554106815,0,1.125,0,0.058823529,0.058823529,1,1,0.888888889,0.111111111,32,0,2,2,32,32,36
9,M,stand,24,1,5.066598,73.42204769,73.42204769,6.118503974,6.513246166,0,1.0625,0,0.03030303,0.03030303,1,1,0.941176471,0.058823529,32,0,1,1,32,32,34
9,M,stand,25,1,4.4684414,75.19400389,75.19400389,6.266166991,6.266166991,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
9,M,stand,26,1,4.851041,56.8950046,56.8950046,4.741250383,5.978098309,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,24,0,3,3,24,24,30
9,M,stand,27,1,3.9525665,60.72004102,60.72004102,5.060003418,5.56600376,0,1.095238095,0,0.045454545,0.045454545,1,1,0.913043478,0.086956522,21,0,1,1,21,21,23
9,M,stand,28,1,4.5304744,66.21823092,66.21823092,5.51818591,5.51818591,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
9,M,stand,29,1,5.1860088,74.04538149,74.04538149,6.170448457,6.941754515,0,1.121212121,0,0.057142857,0.057142857,1,1,0.891891892,0.108108108,33,0,2,2,33,33,37
9,M,stand,30,1,4.9074752,70.91222794,66.18474608,5.909352328,5.909352328,2,1,0.066666667,0,0.066666667,1,0,0.933333333,0.066666667,28,2,0,0,30,30,30
